Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,from Open,Gap
A,1.01,3.0,0.0194,0.0384,0.22690000000000002,-0.0738,1.0754000000000001,56.65,126.87,-0.012,0.005699999999999999
AAON,0.65,2.28,0.011000000000000001,0.0959,0.2638,-0.052300000000000006,0.9020999999999999,58.32,77.0,0.0174,0.0025
AB,1.46,1.16,-0.0087,0.052000000000000005,0.2403,-0.06559999999999999,1.7983000000000002,50.73,37.05,-0.0191,-0.0032
ABC,0.48,2.76,-0.0068000000000000005,0.026000000000000002,0.061500000000000006,-0.0621,0.4692,50.9,105.87,0.0025,0.0033
ABR,1.85,0.44,0.08199999999999999,0.1155,0.3973,0.0151,3.5677999999999996,67.74,16.17,0.0466,0.0052
ABT,0.72,2.64,0.0123,0.079,0.1802,-0.042800000000000005,0.9971,57.35,123.04,-0.0176,-0.0013
ACA,,1.71,0.0666,0.1142,0.3655,-0.0070999999999999995,1.3213,66.85,65.32,0.016,0.0060999999999999995
ACCD,,3.17,-0.0132,0.0223,0.262,-0.18960000000000002,0.8438,51.55,52.88,0.0101,0.0029
ACIA,0.62,1.17,0.003,0.2352,0.5482,-0.0001,0.8967,93.87,114.98,0.0011,0.0002
ACLS,1.44,2.0,0.04769999999999999,0.183,0.44520000000000004,-0.0352,2.06,60.08,39.75,0.0174,0.0167
ACMR,,9.12,0.1609,0.3258,0.5456,-0.1467,6.7467,61.38,123.56,-0.0113,0.0499
ACRS,0.67,2.15,0.0113,0.7189,3.2879,-0.168,29.285700000000002,62.18,21.2,-0.0742,0.013300000000000001
ACTG,0.78,0.65,0.2427,0.6265999999999999,1.1365,0.0,3.8571,78.07,8.5,0.0599,0.0038
ADI,1.32,4.25,0.0652,0.08710000000000001,0.28300000000000003,-0.0009,1.0715000000000001,65.41,163.8,0.0197,0.0161
ADSK,1.37,8.81,0.0297,0.0218,0.21530000000000002,-0.049,1.4358000000000002,54.77,305.4,0.0121,0.0034000000000000002
ADTN,1.39,0.78,-0.0424,0.013000000000000001,0.2854,-0.1268,2.3562,47.78,16.11,0.0353,0.0026
ADUS,0.62,3.63,-0.03,0.0019,0.16760000000000003,-0.0883,1.7272,45.15,117.61,0.0060999999999999995,0.0007000000000000001
AEIS,1.83,4.92,-0.0203,0.0165,0.3505,-0.1358,2.2504,48.99,108.5,0.0078000000000000005,0.015
AEYE,2.73,3.52,0.2948,0.516,1.3512,-0.0883,19.8505,67.36,40.45,0.023,0.0458
AGCO,1.29,4.18,0.0669,0.1414,0.5605,-0.0074,2.5075,62.62,123.92,0.0518,0.0239
AGIO,1.67,2.57,0.0199,0.1475,0.1772,-0.11449999999999999,0.8787,54.56,52.18,0.0292,0.0072
AGNC,1.0,0.25,0.0195,0.043899999999999995,0.1517,-0.1623,1.6336000000000002,62.37,16.46,0.016,0.0062
AGO,1.1,1.02,0.0528,0.1288,0.42469999999999997,-0.1531,1.8959000000000001,66.9,39.5,-0.0068000000000000005,0.0076
AGRO,1.25,0.26,0.050199999999999995,0.149,0.5506,-0.0223,1.5196,66.93,8.34,0.0158,0.0
AGX,0.57,1.44,0.08560000000000001,0.071,0.14029999999999998,-0.0904,0.6928,65.72,48.5,-0.0148,0.0018
AKTS,1.59,1.19,-0.0362,0.16690000000000002,0.6772,-0.1734,3.2100999999999997,52.62,15.83,0.058899999999999994,0.0060999999999999995
ALG,0.99,3.85,0.05,0.0819,0.3104,0.008100000000000001,1.1964,64.1,155.92,0.0327,0.0062
ALGM,,1.72,-0.018500000000000003,0.0383,0.1211,-0.1306,0.7959,50.23,30.14,-0.012,0.0069
ALGN,1.72,21.3,0.047,0.091,0.5715,-0.0555,3.6860000000000004,57.75,599.25,0.005600000000000001,0.0015
ALLT,0.65,0.96,0.1047,0.2443,0.4399,-0.0858,1.4658000000000002,60.81,15.88,0.018600000000000002,0.0058
ALNY,1.3,8.69,-0.032,0.042300000000000004,0.09759999999999999,-0.1309,0.8249,48.89,155.06,0.0192,0.0127
ALRM,1.21,3.96,0.0077,0.0287,0.41979999999999995,-0.0863,2.1028000000000002,51.47,99.29,0.0073,0.009000000000000001
ALTG,,0.37,0.0245,0.060700000000000004,0.254,-0.0447,1.9163999999999999,54.82,10.47,0.0275,-0.0097
ALTM,3.93,2.37,0.0227,0.0697,1.1638,-0.0652,4.584,55.47,52.49,0.0054,0.0105
ALTR,,2.62,0.0226,0.0547,0.3654,-0.0802,1.7378,53.65,63.08,0.0277,0.005699999999999999
ALXN,1.22,2.16,-0.006500000000000001,0.0187,0.2688,-0.0436,1.1399,51.06,155.51,-0.0085,-0.0046
AMAT,1.49,5.21,0.1229,0.22579999999999997,0.6761,-0.0138,2.2603999999999997,66.96,119.46,-0.0183,0.0728
AMED,0.73,9.61,-0.023399999999999997,0.0032,0.2207,-0.10039999999999999,1.1999,46.43,292.48,-0.0012,-0.0021
AMKR,1.79,1.37,0.2432,0.377,0.758,-0.09210000000000002,3.3832999999999998,68.94,23.67,0.009000000000000001,0.0245
AMRC,0.49,3.43,0.03,0.1476,0.7128,-0.085,3.8042000000000002,55.95,64.28,0.0202,0.0048
AMRX,1.3,0.28,0.0687,0.1605,0.245,-0.08900000000000001,1.3458,63.06,5.63,0.0072,-0.0070999999999999995
AMSC,1.26,2.24,-0.0127,0.0455,0.7445999999999999,-0.1825,4.9045,51.29,25.98,0.0527,0.0194
AMYT,,0.48,0.040999999999999995,0.069,0.1641,-0.0639,0.8367,61.01,14.51,0.0014000000000000002,0.0063
AMZN,1.12,71.16,-0.0148,0.0064,0.0643,-0.0851,0.9987,47.84,3249.9,-0.0235,0.0
ANSS,1.24,9.94,0.0463,0.08109999999999999,0.2266,-0.0431,0.9762000000000001,60.92,395.37,0.010700000000000001,0.0036
AOS,1.06,1.67,0.0258,0.0483,0.1472,-0.0374,0.7642,55.4,59.64,0.016399999999999998,0.0091
AOSL,2.68,2.75,0.16879999999999998,0.3443,1.2086,-0.0956,5.6821,64.96,38.89,0.0426,0.0219
AOUT,,1.12,0.13570000000000002,0.2495,0.4335,-0.22260000000000002,0.9064,68.67,23.33,0.0467,0.0022
APH,1.27,2.75,0.0159,0.0092,0.1729,-0.0418,1.1004,52.83,132.43,0.0084,0.0045000000000000005
API,,9.18,0.2457,0.727,1.0409,-0.1469,1.919,68.23,98.08,0.0217,0.0374
APO,1.63,1.43,0.048,0.0675,0.1018,-0.0642,1.6634,60.02,51.83,0.0076,0.0063
APPF,1.17,7.21,0.061,0.0373,0.11359999999999999,-0.0667,1.1497,56.74,174.15,0.022799999999999997,-0.0034999999999999996
APPN,1.86,18.99,-0.043899999999999995,0.1416,1.1535,-0.2159,6.0127,50.89,203.86,-0.0265,-0.0334
APPS,2.53,7.1,0.1516,0.38880000000000003,1.63,-0.1303,23.416700000000002,63.99,84.97,0.0311,0.031
APTV,2.2,5.52,0.0667,0.1231,0.5353,-0.035699999999999996,4.2635000000000005,61.99,153.8,0.0161,0.013500000000000002
ARCC,,0.29,0.0092,0.0438,0.1797,-0.058499999999999996,1.2722,56.82,17.95,-0.0055000000000000005,0.0006
ARGX,,13.33,0.0851,0.18760000000000002,0.4472,-0.031200000000000002,2.5683,65.04,370.21,0.011399999999999999,-0.0006
ARW,1.58,2.81,0.023799999999999998,0.044199999999999996,0.2861,-0.027000000000000003,1.6841,57.18,105.35,0.012,0.0074
ASAN,,2.23,0.0765,0.2162,0.41509999999999997,-0.0509,1.0136,65.88,41.42,0.016399999999999998,0.0067
ASML,1.08,15.86,0.0538,0.1434,0.4557,-0.0235,2.1079,64.66,594.4,0.0043,0.0161
ASO,,1.53,0.0621,0.1736,0.36229999999999996,-0.0581,1.0871,62.09,25.15,-0.0063,0.0064
ATCO,1.17,0.44,0.109,0.1795,0.4514,-0.008100000000000001,1.4879,72.59,13.41,0.0083,0.0038
ATEC,1.7,0.76,0.0654,0.1537,0.9351999999999999,-0.0161,6.5251,65.9,16.48,-0.0036,0.0012
ATGE,1.24,1.69,0.0394,0.1412,0.2834,-0.0575,1.0916,63.58,41.33,0.0076,0.0096
ATHM,0.68,6.21,0.0998,0.2446,0.4495,-0.077,1.2892,69.77,136.3,0.0015,0.0097
ATLC,0.97,1.79,0.1686,0.2912,1.0905,0.0345,5.476,71.13,32.38,0.0479,0.0026
ATVI,0.69,2.44,0.04,0.09359999999999999,0.2336,-0.035699999999999996,0.9956,62.26,100.8,-0.0209,0.0068000000000000005
AVAV,0.48,7.35,0.0002,0.18960000000000002,0.5508,-0.1143,1.8288,55.61,127.29,0.023,0.0077
AVGO,1.04,11.0,0.0436,0.0953,0.3456,-0.0097,2.1474,65.73,489.96,0.005600000000000001,0.0083
AVLR,,7.26,0.062400000000000004,0.055099999999999996,0.25670000000000004,-0.0524,2.165,58.25,175.66,-0.0007000000000000001,0.008100000000000001
AVNT,1.66,1.56,0.0722,0.0775,0.4204,-0.0408,4.1226,61.5,44.49,0.0265,0.0058
AVNW,2.2,5.44,0.37189999999999995,0.6112,1.5719999999999998,-0.065,8.2181,78.21,65.43,0.0066,-0.004
AWK,0.23,3.34,-0.0316,0.0032,0.0797,-0.09210000000000002,0.7028,41.24,156.66,-0.0232,0.0014000000000000002
AX,1.79,1.35,0.059500000000000004,0.12619999999999998,0.585,-0.0232,2.2927,64.3,45.06,0.0264,0.0070999999999999995
AXGN,0.74,0.97,0.0971,0.1308,0.5529999999999999,-0.0086,1.8840999999999999,65.61,20.65,0.0382,0.0086
AXON,0.58,9.49,0.006999999999999999,0.19399999999999998,0.6453,-0.16649999999999998,2.5364,55.99,177.0,0.0034999999999999996,0.0151
AXTI,2.36,0.93,0.3225,0.40869999999999995,1.1767,0.1887,7.3081,73.95,15.37,0.18230000000000002,0.0753
AZEK,,1.69,0.12380000000000001,0.19649999999999998,0.3287,-0.0123,0.8291,72.81,48.19,0.020499999999999997,0.004
AZO,0.88,31.47,0.013600000000000001,0.0091,0.0361,-0.071,0.7604000000000001,52.29,1205.73,-0.0055000000000000005,0.0009
BANC,1.92,0.69,0.048499999999999995,0.1446,0.5119,-0.0455,1.9643000000000002,62.0,19.09,0.0181,0.0064
BBY,1.53,3.09,0.026600000000000002,0.0816,0.1492,-0.0552,1.453,59.44,118.0,0.0031,0.0075
BC,1.86,3.07,0.0167,0.0834,0.3358,-0.0317,2.6212999999999997,58.58,91.33,0.019,0.0059
BCC,2.06,1.8,0.0254,0.052199999999999996,0.24170000000000003,-0.0467,1.6765,55.83,51.83,0.034300000000000004,0.0095
BCRX,2.76,0.85,0.1822,0.3347,1.1326,-0.10619999999999999,6.2975,67.1,11.53,0.0482,0.018500000000000003
BCYC,,2.52,-0.0724,0.1001,0.3398,-0.2224,1.501,47.43,25.66,-0.0736,-0.0029
BEKE,,4.32,0.0591,0.0703,0.12380000000000001,-0.1261,1.1828,56.09,69.39,0.0594,0.018799999999999997
BEN,1.26,0.82,0.0263,0.0667,0.2429,-0.0378,0.8451000000000001,57.43,27.51,0.0092,0.01
BEP,,1.57,-0.009399999999999999,0.0394,0.3435,-0.0736,1.8805,51.48,46.2,0.012,0.0046
BERY,1.39,1.62,0.0525,0.0536,0.1457,-0.0621,1.2884,57.32,57.21,0.0051,0.0018
BFST,,0.67,0.0401,0.0501,0.3222,-0.15460000000000002,1.41,59.9,22.1,0.0091,0.0023
BG,0.75,2.49,0.0682,0.1161,0.4671,-0.038599999999999995,1.6338,61.34,76.38,0.0183,0.0036
BGFV,2.78,1.14,0.07629999999999999,0.2791,1.185,-0.076,22.569200000000002,62.72,15.32,0.0213,0.015600000000000001
BGNE,0.9,17.25,-0.023,0.1531,0.3973,-0.0975,1.9611,52.31,351.04,0.0177,0.0173
BILI,,10.14,0.0555,0.2919,1.3732,-0.0892,6.459700000000001,59.39,143.6,-0.021099999999999997,0.022400000000000003
BILL,,10.55,0.2054,0.27899999999999997,0.7501000000000001,-0.0599,6.8022,64.47,184.21,0.0076,0.015700000000000002
BIO,0.83,19.33,0.045,0.069,0.19390000000000002,-0.0755,1.0590000000000002,57.38,637.01,-0.0254,0.0032
BIP,0.79,1.17,0.009300000000000001,0.0316,0.1493,-0.0281,1.3144999999999998,56.7,53.2,0.018799999999999997,0.0067
BKE,1.16,1.65,0.0139,0.1433,0.7321,-0.0894,2.495,58.26,38.57,0.0042,0.008100000000000001
BLDR,2.57,1.56,-0.0096,0.0191,0.3369,-0.073,3.5456,49.28,40.91,0.0126,0.0087
BNTX,,5.0,0.0147,0.0741,0.4093,-0.11689999999999999,3.1318,55.88,115.69,0.0229,0.004
BOMN,0.64,2.67,0.33520000000000005,0.6048,1.331,-0.0007000000000000001,2.6014,87.07,46.98,0.0062,0.0181
BOX,1.28,0.67,0.013500000000000002,0.0163,0.0212,-0.1616,1.1435,52.28,18.52,-0.010700000000000001,0.0032
BR,0.86,2.97,0.0235,0.0034999999999999996,0.0895,-0.0557,0.8259000000000001,54.86,149.54,-0.0031,0.0048
BRMK,,0.21,-0.0044,0.013600000000000001,0.0775,-0.171,0.943,50.32,10.57,0.0163,0.0019
BRP,,1.22,0.0679,0.0078000000000000005,0.2193,-0.1576,2.3856,55.32,28.27,0.012199999999999999,-0.0011
BTRS,,0.96,0.10769999999999999,0.1545,0.5742,-0.0385,1.0541,66.93,19.0,0.0085,0.0021
BWB,,0.4,0.0493,0.1092,0.33880000000000005,-0.035,0.8298000000000001,65.31,14.62,0.0048,0.0007000000000000001
BX,1.29,1.41,0.0176,0.0636,0.2163,-0.029500000000000002,1.1203,63.4,69.97,0.0014000000000000002,0.0027
BXC,2.06,2.12,0.1199,0.301,1.1459000000000001,-0.0167,11.4333,68.86,44.76,-0.0143,0.0147
BZUN,1.16,3.25,0.1436,0.331,0.3937,-0.08,1.3632,65.47,52.44,-0.0074,0.043
CALX,1.54,2.04,0.059699999999999996,0.1393,0.6548999999999999,-0.0512,5.470599999999999,59.3,36.3,0.0398,0.0134
CAMT,1.63,1.27,0.1417,0.2723,0.7186,-0.0103,3.7662,74.9,29.86,0.0129,0.0129
CAPL,2.11,0.53,-0.0078000000000000005,0.0377,0.1743,-0.0475,1.7063,52.5,18.43,0.009899999999999999,0.0005
CARA,1.36,1.22,0.0229,0.1508,0.2534,-0.1137,1.2556,55.95,20.03,0.0116,-0.0055000000000000005
CASA,,0.77,0.2561,0.4156,1.0003,0.0947,4.7514,73.4,10.64,-0.0009,0.25
CATC,0.49,2.37,0.0255,0.0516,0.2621,-0.0279,0.7595000000000001,57.01,77.77,0.0141,-0.0018
CBD,1.09,0.49,0.0911,0.13419999999999999,0.2711,-0.1862,0.7572,66.09,16.5,0.018500000000000003,0.024
CBOE,,3.37,0.0263,0.030600000000000002,0.046900000000000004,-0.23739999999999997,0.3362,53.77,96.22,-0.039,0.0053
CCAP,,0.49,0.0326,0.066,0.2245,-0.0187,1.6216,60.82,16.28,0.008,0.009399999999999999
CCCC,,3.35,0.051399999999999994,0.1637,0.3283,-0.12140000000000001,0.9209999999999999,57.04,43.03,0.0073,0.0
CCEP,0.82,1.48,0.053899999999999997,0.0732,0.239,-0.0842,0.8448,62.56,52.3,-0.008,-0.0017000000000000001
CCNE,1.0,0.9,0.056299999999999996,0.0753,0.2904,-0.18489999999999998,0.7962,61.26,23.8,0.028999999999999998,0.0
CCS,1.97,2.93,0.0867,0.20559999999999998,0.4764,-0.0823,5.4403,61.99,58.22,0.0263,0.0105
CCU,0.95,0.47,0.0024,0.0665,0.1929,-0.0821,0.6063000000000001,53.68,17.22,0.008199999999999999,0.0018
CD,,1.29,0.146,0.16,0.2776,-0.09789999999999999,0.6707,66.19,21.92,0.0325,0.0086
CDNA,0.7,5.08,-0.0034999999999999996,0.0703,0.7318000000000001,-0.1481,5.522200000000001,51.26,85.05,0.0178,0.011699999999999999
CDNS,1.07,3.68,0.0167,0.0478,0.2605,-0.0632,1.7176,54.25,139.66,-0.011000000000000001,0.0121
CDXC,1.65,0.47,0.5307,0.6241,0.7071,0.0764,2.324,81.26,8.31,0.057300000000000004,0.0452
CE,1.22,3.35,0.058499999999999996,0.0378,0.2298,-0.0348,1.5658,61.65,135.22,0.022799999999999997,0.0062
CELH,2.22,5.01,0.0048,0.1512,1.2776,-0.1393,17.888199999999998,54.02,60.82,0.0212,0.0134
CENT,0.66,1.72,0.026000000000000002,0.11779999999999999,0.1796,-0.0953,0.9458,57.46,46.35,0.0024,0.0060999999999999995
CENTA,,1.68,0.0155,0.0932,0.1586,-0.0695,0.9335,56.13,41.88,-0.0019,-0.0001
CERS,1.36,0.46,0.0262,0.0202,0.1375,-0.15560000000000002,1.7638,52.6,7.49,0.0246,0.0014000000000000002
CET,,0.51,0.0518,0.0965,0.228,0.0022,0.9445,80.5,36.48,0.0036,0.0017000000000000001
CEVA,1.13,4.88,0.09369999999999999,0.31739999999999996,0.6609999999999999,-0.1631,2.4356999999999998,62.98,70.26,0.0332,0.013600000000000001
CG,1.39,0.97,0.04650000000000001,0.1119,0.2766,-0.0346,1.3997,63.72,36.5,-0.0027,0.0144
CGNX,1.66,2.92,0.0159,0.053,0.2872,-0.1413,1.5507,53.83,87.43,0.0191,0.0006
CHCO,0.67,1.64,0.0333,0.049,0.1509,-0.0593,0.4028,62.69,74.43,0.0139,-0.0007000000000000001
CHDN,1.4,7.93,0.056100000000000004,0.0693,0.3176,-0.0132,3.1374,58.73,218.87,0.012199999999999999,0.006
CHWY,,6.34,0.0665,0.1383,0.7159,-0.0504,4.5262,60.16,113.95,0.012199999999999999,0.0208
CINF,0.64,2.79,0.0898,0.1079,0.2584,-0.1578,1.0894,67.81,96.26,0.0126,0.004
CLAR,0.87,0.55,0.050499999999999996,0.1072,0.30870000000000003,-0.0144,1.2714,65.98,17.82,0.02,0.0023
CLBK,,0.42,0.034300000000000004,0.049800000000000004,0.21899999999999997,-0.0458,0.6037,64.41,16.47,0.011699999999999999,-0.0006
CLDR,1.27,0.71,0.12029999999999999,0.2605,0.5550999999999999,-0.0341,2.9265,73.88,18.69,0.011899999999999999,0.0076
CLDX,2.68,1.46,0.2552,0.42829999999999996,1.0002,0.044199999999999996,17.5933,79.06,27.89,0.0239,0.022099999999999998
CLF,2.3,0.97,0.0473,0.0933,0.9133,-0.0932,5.4715,55.59,17.02,0.0089,0.0163
CLFD,1.0,2.2,0.0602,0.23829999999999998,0.7267,-0.06860000000000001,3.3377,60.7,36.09,0.0371,0.0087
CLGX,1.15,1.82,0.10800000000000001,0.1401,0.3141,-0.013600000000000001,2.6136,81.52,89.22,-0.0126,0.0049
CLSK,3.74,4.32,0.2466,0.3411,1.9872999999999998,-0.1477,36.433,61.23,36.31,-0.0077,-0.039599999999999996
CLVT,,0.96,0.0319,0.022000000000000002,0.1065,-0.09570000000000001,1.0227,55.56,30.34,0.0083,0.001
CLXT,2.17,1.13,0.1119,0.6622,1.1417,-0.0796,3.7667,62.24,11.44,0.057300000000000004,0.0208
CMBM,,3.22,0.1177,0.37829999999999997,1.3669,-0.0363,11.056,67.05,43.04,-0.0002,0.0513
CMG,1.3,35.15,-0.0176,0.0311,0.1883,-0.0587,2.5496,49.89,1473.09,0.0031,0.0084
CNA,0.86,0.98,0.0802,0.1198,0.3125,-0.08289999999999999,0.7644,67.74,43.67,0.0011,0.01
CNOB,1.35,0.73,0.0371,0.0877,0.38020000000000004,-0.0348,1.5997,59.61,23.02,0.0181,0.0053
CNXC,,4.41,0.0123,0.054299999999999994,0.0637,-0.0771,0.42450000000000004,58.13,113.96,0.0019,0.0043
CODI,1.76,0.6,0.08289999999999999,0.12890000000000001,0.2812,-0.0084,1.1883,71.72,23.59,0.0138,0.0
COF,1.73,3.49,0.0802,0.1434,0.5036,-0.011699999999999999,2.1463,66.65,119.56,0.0083,0.0132
COOP,1.6,1.2,0.026699999999999998,0.028300000000000002,0.46270000000000006,-0.0672,6.0209,54.84,30.26,0.0223,0.0092
CRAI,1.45,2.42,0.0040999999999999995,0.0407,0.2756,-0.0757,1.5837999999999999,52.49,56.74,0.0096,-0.0018
CRL,1.11,8.84,0.0489,0.1016,0.3115,-0.046900000000000004,2.0294,60.27,289.55,-0.0126,0.0025
CRM,1.12,4.95,0.0518,0.0862,0.1211,-0.1334,1.1386,69.58,246.56,-0.0058,0.004
CRMT,1.41,4.92,0.0643,0.1293,0.37200000000000005,-0.049100000000000005,2.8448,62.27,135.26,0.0182,-0.0027
CRON,,1.12,0.048499999999999995,0.2528,0.738,-0.223,2.075,54.61,12.3,0.0441,0.0051
CRSR,,3.67,-0.0437,0.0012,0.1945,-0.2404,1.7693,46.53,39.02,-0.0003,0.0146
CRWD,,10.46,0.0696,0.12480000000000001,0.7008,-0.0481,6.4867,64.97,239.2,-0.0109,0.0108
CSGP,0.89,27.82,0.002,0.0161,0.1216,-0.0415,0.8256,51.44,913.25,-0.0134,0.0063
CSOD,1.39,1.95,0.1373,0.1597,0.3097,-0.129,1.3227000000000002,65.42,51.61,-0.0216,0.0048
CSSE,1.74,1.92,0.1388,0.37060000000000004,1.1861,-0.0536,5.6901,70.45,31.18,-0.0176,0.006999999999999999
CSTR,1.13,0.48,0.053899999999999997,0.0751,0.3325,-0.029300000000000003,1.1384,59.32,15.91,0.0392,0.0072
CSV,0.82,1.04,-0.0139,0.0501,0.4053,-0.0649,1.5451,50.76,34.46,-0.0072,0.0108
CSWC,1.23,0.47,0.1057,0.1784,0.4183,-0.0046,1.9753999999999998,83.2,21.56,0.0028000000000000004,0.0
CSWI,0.8,4.53,0.0611,0.10679999999999999,0.4826,0.0024,1.62,63.3,131.34,0.0241,0.0008
CTRN,1.62,3.43,0.19210000000000002,0.36329999999999996,1.5019,0.012,10.1776,83.66,74.89,0.023799999999999998,0.0208
CTSO,0.18,0.53,0.0383,0.17670000000000002,0.2116,-0.0588,2.0694,61.99,11.05,0.0138,-0.0009
CTVA,,1.39,0.07440000000000001,0.10550000000000001,0.39799999999999996,0.0025,1.2311,64.71,45.47,0.025,0.0036
CUBI,1.54,0.83,0.0992,0.2587,0.9259000000000001,-0.0349,2.5474,71.27,26.54,0.0141,0.0054
CURI,,1.84,0.2481,0.4653,1.0263,-0.0458,2.0780000000000003,69.63,22.9,-0.0022,0.011000000000000001
CVA,1.5,0.51,-0.0226,0.0291,0.35869999999999996,-0.11470000000000001,1.1735,48.03,14.28,0.025099999999999997,-0.0333
CVCO,1.26,7.38,0.0626,0.1313,0.1501,-0.0708,1.1729,60.94,216.38,0.0105,-0.0014000000000000002
CVLT,0.79,2.19,0.0375,0.1448,0.4752,-0.065,1.7877,63.59,67.63,-0.0029,0.0036
CWH,3.36,2.29,-0.008,0.1463,0.2826,-0.1166,10.2975,55.08,36.97,0.0,0.009000000000000001
CWT,0.14,1.34,0.0298,0.0654,0.1974,-0.0339,0.4708,60.86,58.45,-0.0014000000000000002,0.0019
CYRX,0.98,5.05,-0.0764,0.09359999999999999,0.4853,-0.23600000000000002,3.99,47.52,64.92,-0.015,-0.0034999999999999996
CZNC,0.4,0.62,0.0239,0.029500000000000002,0.1106,-0.2322,0.38939999999999997,54.2,20.73,0.0329,0.0034999999999999996
CZR,3.16,3.79,0.0738,0.08990000000000001,0.5589,-0.0096,12.814,60.11,83.16,0.0412,0.0076
DAC,1.72,3.02,0.24230000000000002,0.5019,2.467,-0.0414,14.644,69.69,39.11,0.015300000000000001,0.0349
DAVA,,2.97,0.0559,0.1144,0.41969999999999996,-0.009300000000000001,2.2062,65.12,87.24,0.0088,0.0048
DBX,,1.02,-0.0036,0.0168,0.1002,-0.0874,0.612,49.79,23.45,-0.0103,-0.0275
DDOG,,5.64,-0.0291,0.009399999999999999,0.1523,-0.1204,2.6375,47.39,105.05,-0.019,0.006500000000000001
DFIN,2.17,0.93,0.098,0.16519999999999999,0.7044,-0.0444,4.4851,65.6,22.16,0.0096,0.0032
